EventId,DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,DER_lep_eta_centrality,PRI_tau_pt,PRI_tau_eta,PRI_tau_phi,PRI_lep_pt,PRI_lep_eta,PRI_lep_phi,PRI_met,PRI_met_phi,PRI_met_sumet,PRI_jet_num,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_leading_phi,PRI_jet_subleading_pt,PRI_jet_subleading_eta,PRI_jet_subleading_phi,PRI_jet_all_pt,Weight,Label
105025,159.991,70.986,97.267,4.488,-999,-999,-999,3.17,4.488,95.917,1.652,1.4,-999,36.162,-2.469,0.765,59.755,-1.863,-2.407,21.159,0.855,167.855,0,-999,-999,-999,-999,-999,-999,0,4.766946484,b
105026,82.945,41.44,68.256,26.534,-999,-999,-999,2.385,26.534,76.841,1.842,-1.414,-999,27.038,0.735,-2.462,49.802,0.653,-0.079,12.748,1.852,138.137,0,-999,-999,-999,-999,-999,-999,0,0.309795156,b
105027,85.761,3.749,54.536,65.419,4.538,591.228,-4.83,1.862,77.991,305.204,0.912,1.115,1,34.563,-0.024,2.154,31.533,-0.581,-2.352,29.403,-2.475,492.931,3,67.737,-2.834,2.945,54.03,1.705,0.152,239.109,0.083414031,b
105028,133.871,11.553,93.664,1.231,-999,-999,-999,3.08,1.231,88.752,0.681,-1.383,-999,52.785,-0.883,2.653,35.966,-0.099,-0.326,19.168,-0.769,82.576,0,-999,-999,-999,-999,-999,-999,0,0.018636117,s
105029,88.852,6.352,58.153,41.731,-999,-999,-999,2.265,2.893,104.765,0.944,1.236,-999,32.822,-1.427,1.353,30.986,-1.683,-0.898,18.864,-0.635,185.446,1,40.957,-1.028,3.128,-999,-999,-999,40.957,1.681611443,b
105030,-999,85.588,138.468,4.018,-999,-999,-999,2.943,4.018,96.578,1.141,-1.405,-999,45.107,-0.747,-1.504,51.471,1.185,0.716,43.578,2.972,84.042,0,-999,-999,-999,-999,-999,-999,0,5.535941021,b
105031,132.807,3.171,96.47,2.626,-999,-999,-999,3.15,2.626,90.721,0.844,-1.368,-999,49.204,0.36,1.72,41.517,1.092,-1.499,6.983,-1.313,154.518,0,-999,-999,-999,-999,-999,-999,0,0.018636117,s
105032,130.277,4.158,75.948,62.04,-999,-999,-999,2.476,29.423,150.663,0.9,1.127,-999,41.889,-0.82,0.375,37.719,-0.504,-2.081,48.534,-1.983,229.405,1,71.055,2.273,2.014,-999,-999,-999,71.055,0.001502705,s
105033,-999,113.353,66.13,6.418,-999,-999,-999,1.789,6.418,88.08,2.13,-1.342,-999,28.141,0.461,-1.713,59.94,1.046,2.879,56.906,0.225,147.737,0,-999,-999,-999,-999,-999,-999,0,4.956843588,b
105034,134.323,72.858,108.721,15.177,-999,-999,-999,2.666,15.177,111.158,1.092,-1.414,-999,53.128,-1.208,-2.532,58.03,-0.95,1.098,39.675,-0.627,199.828,0,-999,-999,-999,-999,-999,-999,0,1.935802362,b
105035,91.283,21.538,59.036,79.167,3.865,463.769,-3.732,1.72,15.739,247.629,0.743,1.405,0.214,45.001,2.159,-1.532,33.455,2.353,3.041,27.749,-2.519,365.435,3,69.194,-1.979,0.158,64.706,1.886,1.85,169.173,0.064060777,b
105036,-999,107.358,16.406,57.575,-999,-999,-999,0.665,57.575,49.428,1.469,-0.606,-999,20.023,0.524,-2.069,29.405,1.132,-1.798,102.358,0.928,225.535,0,-999,-999,-999,-999,-999,-999,0,4.673942452,b
105037,75.772,32.098,61.28,4.028,-999,-999,-999,2.508,4.028,63.296,0.825,-1.403,-999,34.679,0.409,-0.996,28.617,0.88,1.467,18.144,3.03,103.111,0,-999,-999,-999,-999,-999,-999,0,0.001502705,s
105038,87.715,39.815,47.055,86.502,-999,-999,-999,1.846,22.329,123.292,0.889,1.384,-999,30.541,0.455,2.145,27.149,-0.055,0.371,50.302,1.509,198.429,1,65.602,-1.856,-1.812,-999,-999,-999,65.602,0.018636117,s
105039,115.795,44.625,77.046,54.475,-999,-999,-999,2.427,21.884,118.836,1.012,1.399,-999,39.886,0.606,-1.722,40.383,0.12,0.656,25.469,-0.883,134.37,1,38.567,2.045,2.786,-999,-999,-999,38.567,0.001502705,s
105040,126.506,5.107,90.086,3.894,-999,-999,-999,3.348,3.894,76.399,0.735,-1.412,-999,44.039,0.763,-1.218,32.36,-0.461,1.899,15.169,2.13,132.081,0,-999,-999,-999,-999,-999,-999,0,0.018636117,s
105041,108.978,24.362,77.897,0.99,-999,-999,-999,3.19,0.99,67.406,1.075,-1.412,-999,32.487,0.379,-0.389,34.92,1.491,2.601,5.21,-1.428,79.79,0,-999,-999,-999,-999,-999,-999,0,0.018636117,s
105042,119.915,80.166,81.146,24.765,-999,-999,-999,3.006,24.765,80.909,1.379,1.28,-999,34.005,1.532,-1.942,46.904,1.142,1.039,34.798,-1.852,172.606,0,-999,-999,-999,-999,-999,-999,0,2.043995734,b
105043,123.42,47.834,84.379,91.807,1.835,212.862,1.7,1.93,45.62,337.398,0.666,1.319,0.227,62.852,-0.52,-1.629,41.881,-0.476,2.724,30.242,-2.085,367.983,3,95.068,-0.677,0.715,57.85,-2.511,-3.023,232.665,0.00150187,s
105044,130.4,42.034,89.088,111.852,0.565,94.112,2.635,2.385,0.243,246.035,3.337,1.383,0,24.601,1.259,0.938,82.105,0.457,-1.309,44.901,-0.602,267.529,2,87.793,1.365,2.746,51.535,1.93,1.414,139.328,0.00150187,s
105045,144.754,76.458,122.477,69.48,5.476,830.279,-6.62,2.319,53.208,227.488,0.397,-1.284,0.866,83.774,0.371,-0.076,33.242,1.976,-1.75,45.454,1.756,279.074,2,68.966,3.674,1.967,41.505,-1.802,-1.505,110.471,0.744056247,b
105046,143.892,6.945,69.656,90.117,4.415,422.77,-3.04,2.842,8.435,163.212,1.108,0.306,0.985,33.024,-1.283,2.49,36.597,-1.62,-0.972,85.527,-0.848,218.713,2,47.944,0.854,2.629,45.647,-3.561,1.627,93.591,0.001502705,s
105047,111.918,8.938,84.015,121.035,2.304,163.373,0.818,1.507,1.984,234.631,0.589,0.478,0.793,67.049,-0.538,1.181,39.52,0.91,0.763,19.411,0.439,227.996,2,97.61,0.313,-2.028,30.451,2.617,-2.739,128.062,1.454848473,b
105048,105.084,8.896,54.085,72.047,0.479,30.386,0.023,2.135,26.155,159.604,0.773,1.212,0,34.841,-1.343,-2.772,26.943,-1.07,1.394,51.222,1.634,261.659,2,65.881,-0.522,-1.111,31.939,-0.043,-0.942,97.82,0.002653311,s
105049,64.185,75.521,50.496,67.307,0.913,37.314,1.88,1.407,7.35,155.424,3.125,-0.126,0.081,21.92,-0.46,-0.609,68.508,-0.721,0.773,24.252,-1.596,292.499,2,34.809,-1.902,-2.651,30.186,-0.989,3.126,64.996,2.189076499,b
105050,-999,103.635,264.618,24.859,-999,-999,-999,3.892,24.859,123.453,1.108,-1.388,-999,58.561,0.917,0.372,64.892,-1.89,3.067,45.923,-0.714,114.07,0,-999,-999,-999,-999,-999,-999,0,0.744056247,b
105051,47.916,68.617,40.133,7.23,-999,-999,-999,1.657,7.23,55.139,1.697,-1.305,-999,20.443,0.982,0.282,34.696,1.469,-1.302,35.259,2.231,142.614,0,-999,-999,-999,-999,-999,-999,0,4.731973953,b
105052,-999,70.226,102.806,3.803,-999,-999,-999,2.332,3.803,107.695,0.59,-1.383,-999,67.718,0.469,0.469,39.977,-0.387,2.638,56.039,-1.973,106.369,0,-999,-999,-999,-999,-999,-999,0,4.137931046,b
105053,119.748,32.035,90.448,91.574,-999,-999,-999,2.075,21.58,182.869,0.856,0.016,-999,39.623,-0.924,-0.745,33.92,1.15,-0.785,29.086,0.285,233.766,1,109.326,0.493,2.534,-999,-999,-999,109.326,0.001502705,s
105054,167.909,86.823,143.981,4.471,-999,-999,-999,2.974,4.471,116.374,1.278,-1.408,-999,51.093,-2.305,-1.864,65.282,-0.853,1.824,37.134,-0.335,137.817,0,-999,-999,-999,-999,-999,-999,0,5.200987896,b
105055,95.185,69.582,54.437,63.38,-999,-999,-999,2.199,26.048,101.995,0.807,0.327,-999,33.985,2.208,-0.059,27.442,2.187,2.14,48.207,-0.41,124.011,1,40.568,0.526,-2.863,-999,-999,-999,40.568,1.681611443,b
105056,278.225,15.874,163.853,150.92,0.089,106.437,0.245,2.935,6.568,374.04,1.507,1.263,0.013,61.864,0.445,-0.949,93.203,-0.404,2.525,112.789,2.68,392.383,3,96.448,-0.452,0.151,83.409,-0.541,-1.061,218.972,0.744056247,b
105057,-999,80.051,39.297,1.783,-999,-999,-999,1.426,1.783,55.058,1.508,-1.363,-999,21.951,0.33,-0.423,33.107,-0.793,0.456,49.572,-2.996,104.663,0,-999,-999,-999,-999,-999,-999,0,5.058110927,b
105058,-999,58.904,51.32,0.353,-999,-999,-999,2.256,0.353,55.247,1.568,-1.382,-999,21.51,1.122,-2.749,33.737,0.393,-0.614,29.038,1.837,27.055,0,-999,-999,-999,-999,-999,-999,0,2.164424322,b
105059,138.608,8.386,84.303,48.12,-999,-999,-999,3.1,48.12,59.5,1.087,1.262,-999,28.515,-0.658,-2.529,30.985,1.18,1.257,33.556,1.518,95.506,0,-999,-999,-999,-999,-999,-999,0,1.681611443,b
105060,-999,69.352,121.86,5.988,-999,-999,-999,2.994,5.988,75.454,0.808,-1.411,-999,41.723,-0.308,1.996,33.73,1.965,-2.338,48.425,-0.275,96.552,0,-999,-999,-999,-999,-999,-999,0,5.496963471,b
105061,91.333,36.778,68.847,36.468,-999,-999,-999,2.573,1.626,114.94,2.241,1.371,-999,23.914,-2.432,-0.712,53.581,-2.315,1.857,8.925,-0.14,87.631,1,37.445,-3.432,-1.865,-999,-999,-999,37.445,1.681611443,b
105062,61.376,26.932,37.967,86.843,-999,-999,-999,1.33,0.03,145.25,1.023,1.267,-999,28.868,2.043,-2.611,29.538,1.27,-1.529,37.721,-2.359,115.925,1,86.843,0.79,0.952,-999,-999,-999,86.843,1.681611443,b
105063,102.374,52.443,70.024,26.913,-999,-999,-999,2.643,26.913,65.542,1.157,-0.034,-999,30.383,1.272,2.299,35.159,0.29,-1.53,20.116,1.947,97.033,0,-999,-999,-999,-999,-999,-999,0,0.001502705,s
105064,101.535,9.28,53.612,250.277,3.45,532.532,-2.948,1.179,30.916,434.664,3.117,0.724,0.528,24.312,-0.369,3.013,75.775,-1.546,3.078,150.381,2.991,445.861,3,271.88,1.558,-0.333,31.507,-1.892,2.052,334.577,0.071357137,b
105065,120.907,3.766,85.352,67.036,-999,-999,-999,2.535,23.032,143.94,1.823,0.851,-999,30.036,-0.605,-1.814,54.752,-1.585,2.131,30.582,2.039,227.189,1,59.152,-1.802,-1.072,-999,-999,-999,59.152,0.018636117,s
105066,122.218,47.237,87.311,26.691,-999,-999,-999,2.672,26.691,90.688,1.45,1.221,-999,37.017,-0.89,-2.963,53.671,-1.143,0.66,11.531,-3.12,179.028,0,-999,-999,-999,-999,-999,-999,0,0.001502705,s
105067,82.072,33.438,58.822,35.572,-999,-999,-999,3.069,35.572,53.747,1.527,1.414,-999,21.265,-1.935,-2.276,32.482,-0.945,0.63,25.686,-0.605,132.288,0,-999,-999,-999,-999,-999,-999,0,1.681611443,b
105068,133.774,110.799,111.335,57.287,1.833,133.507,0.035,2.457,25.544,224.446,3.79,-1.321,0.546,26.456,1.407,-2.409,100.259,0.223,-0.255,32.282,2.427,232.768,2,65.233,0.019,2.762,32.499,1.852,-0.738,97.732,1.250870544,b
105069,60.515,71.329,50.594,29.265,-999,-999,-999,1.621,29.265,71.405,2.061,-1.231,-999,23.325,0.786,1.804,48.081,0.109,0.331,26.919,-2.547,134.657,0,-999,-999,-999,-999,-999,-999,0,4.992080397,b
105070,92.335,39.759,65.87,14.223,1.863,131.437,0.288,2.878,2.616,154.255,0.843,-1.41,0.308,35.35,-0.517,-0.731,29.789,-0.065,2.111,16.58,-1.958,158.243,2,46.072,-0.144,2.946,43.044,-2.006,0.137,89.116,0.00150187,s
105071,86.55,35.855,64.025,71.124,0.666,109.42,0.022,1.811,32.627,232.044,1.741,0.009,0,23.457,-0.471,0.405,40.843,1.339,0.347,19.57,1.721,435.281,3,88.987,0.031,-2.298,45.294,0.698,2.252,167.744,1.219921903,b
105072,91.072,29.143,70.128,9.127,-999,-999,-999,3.101,9.127,52.678,1.438,-1.414,-999,21.61,0.666,-1.508,31.068,2.356,2.176,10.077,0.241,126.253,0,-999,-999,-999,-999,-999,-999,0,2.496689696,b
105073,150.934,15.193,116.534,113.108,6.612,1909.002,-10.93,2.279,2.031,264.763,2.995,0.608,0.914,31.149,-0.403,1.44,93.282,0.962,-3.018,26.723,-2.713,227.029,2,74.975,3.276,0.532,65.357,-3.336,-0.786,140.332,0.001502705,s
105074,-999,82.846,85.57,1.829,-999,-999,-999,2.22,1.829,90.646,1.107,-1.414,-999,43.017,-0.438,-2.281,47.629,0.304,1.91,46.569,-0.24,126.515,0,-999,-999,-999,-999,-999,-999,0,4.513944115,b
105075,213.24,109.107,117.818,39.029,-999,-999,-999,2.967,3.84,141.997,1.554,1.096,-999,41.725,1.366,0.192,64.85,0.291,2.958,47.946,0.233,132.342,1,35.422,0.193,-2.193,-999,-999,-999,35.422,5.049213655,b
105076,99.609,42.643,75.042,69.692,3.359,204.161,-2.814,2.065,5.745,170.443,2.812,1.131,0.833,23.763,-1.796,-0.155,66.814,-0.802,-1.964,12.412,-0.297,225.704,2,49.685,-1.763,2.141,30.18,1.596,1.184,79.866,0.307169524,b
105077,112.859,9.62,79.342,33.193,4.654,509.058,-4.515,2.98,2.49,167.194,1.573,-0.793,0.735,26.635,0.924,-0.016,41.893,-0.344,-2.713,15.972,-3.087,195.259,2,51.606,3.275,1.776,47.061,-1.379,-0.708,98.667,0.001502705,s
105078,-999,78.243,29.605,4.568,-999,-999,-999,1.155,4.568,54.942,1.688,-1.408,-999,20.437,-0.971,-2.069,34.505,-0.49,-3.119,46.908,0.494,99.949,0,-999,-999,-999,-999,-999,-999,0,4.720551061,b
105079,81.095,39.053,55.411,8.611,-999,-999,-999,3.013,8.611,55.209,1.148,-1.407,-999,25.7,0.412,-2.319,29.51,0.668,0.684,13.839,-2.979,119.809,0,-999,-999,-999,-999,-999,-999,0,0.018636117,s
105080,122.68,115.293,93.937,58.287,2.034,136.446,-1.022,2.893,34.463,224.285,4.834,1.358,0.365,20.643,0.526,-0.849,99.787,1.129,2.605,37.106,-1.188,213.102,2,69.016,1.125,0.027,34.839,-0.909,-1.495,103.855,2.327648412,b
105081,178.121,101.716,87.045,7.313,-999,-999,-999,3.241,7.313,91.273,2.946,1.334,-999,23.129,-0.966,-1.51,68.145,-0.096,1.613,37.97,-1.492,158.286,0,-999,-999,-999,-999,-999,-999,0,5.378959397,b
105082,119.25,51.58,78.481,4.637,-999,-999,-999,3.179,4.637,62.728,1.761,-1.312,-999,22.722,1.77,2.37,40.006,0.224,-0.408,16.879,2.979,178.082,0,-999,-999,-999,-999,-999,-999,0,5.591013011,b
105083,109.601,80.697,91.364,57.315,0.12,72.983,0.163,2.096,26.932,158.844,2.214,-0.206,0,24.645,-2.071,0.919,54.574,0.012,0.684,35.089,-1.663,250.658,2,48.819,-0.468,-3.133,30.806,-0.348,-0.798,79.625,2.74178352,b
105084,125.664,4.247,78.25,82.892,3.599,478.717,-3.215,1.914,10.626,270.648,0.629,0.883,0.204,59.897,1.842,-1.103,37.697,2.118,-2.997,46.004,-3.099,287.8,2,125.663,-1.951,1.171,47.391,1.648,-1.575,173.054,0.001502705,s
105085,58.992,50.767,49.067,33.376,-999,-999,-999,1.998,12.865,87.136,1.285,-1.135,-999,23.395,-0.745,-1.078,30.07,-1.755,0.646,43.094,2.211,170.394,1,33.67,0.074,-2.24,-999,-999,-999,33.67,2.083556323,b
105086,134.214,68.176,107.58,20.073,-999,-999,-999,2.918,29.897,135.299,1.848,-1.409,-999,33.271,-1.044,0.727,61.479,-2.339,-2.941,24.706,-0.812,173.23,1,40.549,-0.101,1.196,-999,-999,-999,40.549,2.32954001,b
105087,146.395,87.755,82.349,6.596,-999,-999,-999,3.202,6.596,75.172,2.375,-1.363,-999,22.272,-0.592,0.09,52.901,-1.846,3.037,36.929,-0.346,73.681,0,-999,-999,-999,-999,-999,-999,0,5.571766949,b
105088,89.498,0.845,66.202,76.228,2.03,193.755,1.898,1.974,4.665,227.92,2.64,1.026,0.003,24.354,0.858,-1.584,64.29,0.705,0.384,17.85,0.359,309.767,2,98.65,-0.696,2.893,40.626,-2.726,-0.969,139.276,1.454848473,b
105089,130.608,74.853,99.536,34.659,1.947,168.367,1.416,2.959,4.391,218.253,2.062,-1.414,0.04,34.059,-0.634,-1.485,70.243,-0.206,1.87,30.204,-0.027,267.918,2,72.426,2.511,-1.873,41.525,0.564,1.264,113.952,0.018636117,s
105090,113.052,102.941,85.714,31.381,-999,-999,-999,2.288,2.699,119.797,1.933,-0.9,-999,29.651,0.782,-0.245,57.328,1.962,-2.205,46.296,0.851,154.769,1,32.818,-3.365,2.58,-999,-999,-999,32.818,2.411047685,b
105091,72.571,12.327,44.102,160.541,0.923,249.108,4.201,1.073,27.669,455.831,2.284,0.84,0,25.915,-0.583,-1.134,59.181,-1.645,-1.29,76.039,-1.106,493.952,3,161.8,1.64,2.553,116.685,2.562,0.82,370.735,0.064060777,b
105092,68.188,54.5,49.098,17.698,1.272,80.969,4.961,3.028,23.271,123.902,1.386,-0.779,0,20.866,0.045,0.179,28.93,0.019,-2.849,25.67,0.273,202.656,2,38.237,-2.952,-1.873,35.869,-1.68,2.42,74.106,0.018636117,s
105093,95.258,7.87,69.438,27.989,-999,-999,-999,2.423,27.989,72.629,0.691,-0.048,-999,42.946,1.648,-1.981,29.683,2.257,1.957,12.442,1.544,79.167,0,-999,-999,-999,-999,-999,-999,0,1.681611443,b
105094,228.255,121.994,135.607,4.737,-999,-999,-999,3.143,4.737,138.394,1.783,-1.408,-999,49.727,1.94,0.494,88.667,2.351,-2.673,42.115,0.348,225.39,0,-999,-999,-999,-999,-999,-999,0,2.141965249,b
105095,-999,81.078,45.659,64.158,-999,-999,-999,1.149,9.345,132.825,1.028,-0.125,-999,37.292,-2.183,-2.976,38.351,-1.064,-2.718,58.926,-0.675,182.397,1,57.182,-1.794,1.055,-999,-999,-999,57.182,2.135458717,b
105096,164.943,5.179,93.194,15.755,-999,-999,-999,3.078,59.126,147.494,0.504,1.352,-999,62.298,0.128,-2.585,31.369,-0.54,0.42,37.634,0.269,129.9,1,53.828,-2.443,0.662,-999,-999,-999,53.828,0.018636117,s
105097,94.102,17.524,49.474,151.356,1.026,98.767,0.363,1.162,52.609,297.773,0.548,1.337,0.983,60.694,-0.896,-2.499,33.249,-0.725,2.635,74.305,2.989,246.977,2,149.09,-0.278,0.051,54.741,-1.304,-0.029,203.831,0.00150187,s
105098,94.717,2.213,61.045,44.278,-999,-999,-999,2.36,5.297,109.677,0.942,0.89,-999,32.909,-0.981,-2.897,31.006,-1.548,-0.606,28.839,-0.532,175.172,1,45.763,-1.689,1.887,-999,-999,-999,45.763,1.454848473,b
105099,-999,67.25,21.647,155.488,1.654,119.576,0.117,0.424,66.859,282.839,1.112,0.001,0,47.91,1.444,0.057,53.292,1.868,0.054,79.763,1.138,388.217,3,56.794,-1.722,-2.065,51.386,-0.068,2.997,181.638,0.934230266,b
105100,83.112,10.641,59.47,185.439,0.408,110.106,0.634,1.036,11.12,344.7,2.935,0.11,0.416,32.053,0.022,0.615,94.082,-1.013,0.591,59.756,0.449,340.577,2,174.659,-0.618,-2.852,43.905,-1.026,-1.605,218.565,0.071357137,b
105101,148.995,8.173,105.296,64.324,-999,-999,-999,3.068,2.109,152.053,2.167,0.352,-999,27.052,0.543,-2.127,58.619,-1.081,0.475,28.975,0.674,151.359,1,66.381,-1.441,-2.801,-999,-999,-999,66.381,0.018636117,s
105102,100.059,50.969,76.889,27.37,-999,-999,-999,3.07,27.37,79.184,2.825,-1.279,-999,20.7,0.068,-1.351,58.484,-0.859,1.576,11.143,-1.683,71.761,0,-999,-999,-999,-999,-999,-999,0,0.018636117,s
105103,243.176,133.903,189.958,26.217,-999,-999,-999,2.968,26.217,174.122,1.388,-1.411,-999,72.931,0.825,-0.631,101.191,1.787,2.177,58.416,-1.992,215.759,0,-999,-999,-999,-999,-999,-999,0,4.860033323,b
105104,-999,100.664,81.343,0.802,-999,-999,-999,2.418,0.802,69.61,2.41,-1.303,-999,20.412,0.033,-2.08,49.198,-1.841,-0.552,53.387,2.21,76.35,0,-999,-999,-999,-999,-999,-999,0,6.212527472,b
